Tax Time Lodgment Page test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant No.,CustomID,IP Address,Date Started,Date Completed,User Agent,Total Time Spent,Avg Time Taken,Avg Page Views,1. Task. Task panel instructions,1. Task. Task panel instructions - Page Views,1. Task. Task panel instructions - Time Spent,2. Task. Task 1: Choosing a lodgment method,2. Task. Task 1: Choosing a lodgment method - Page Views,2. Task. Task 1: Choosing a lodgment method - Time Spent,9. Task. Task 2: Finding info on next steps,9. Task. Task 2: Finding info on next steps - Page Views,9. Task. Task 2: Finding info on next steps - Time Spent,"* Indicates required answers Please respond to the following based on the task you just completed. * ""I found it easy to find the right lodgment method.""","* ""I feel confident acting on the information on the website.""","* ""I found the content easy to read and understand.""",* Which lodgment method did you choose?,"Other, please specify",* What were your reasons for choosing that lodgment method?,Is there anything you would improve on this design?,"Please respond to the following based on the task you just completed: * ""Based on the information I found I would know what to do to submit my tax return.""","Based on this task, what would be the best method to lodge online?",Other,"Thank you for completing the session tasks, we have some quick questions to get your feedback about the overall experience you had today: How satisfied did you feel using this website?",I trust the information on the website.,I would use this section of the ato.gov.au website in the future.,I found it easy to find the information I was looking for.,The content and language was easy to understand.,Give us your feedback on how we can improve the tax time lodgment pages.,* Are you an ATO employee?,* Which of the following best describes you?,"Other, please specify (2)",Which age group do you belong to?
,,,,,,,,,Completion,,,Completion,,,Completion,,,Response,Response,Response,Response,,Response,Response,Response,Response,,Response,Response,Response,Response,Response,Response,Response,Response,,Response
Participant 1,,220.101.113.10,10/05/17 14:20,10/05/17 14:23,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36",169 secs,21.3,2,success,3,23,fail,1,21,fail,2,20,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Submit a paper lodgment,,test,Allen test only,Neither agree nor disagree,,,Neither satisfied nor dissatisfied,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,test only,No,Small business,,26-45
Participant 2,,150.101.115.206,10/05/17 14:36,10/05/17 16:10,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36",5599 secs,2,1,success,1,1,fail,1,1,fail,1,4,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,test,test again,test,Neither agree nor disagree,,kjhgkjhgjkhg,Neither satisfied nor dissatisfied,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,test,No,Tax agent,,46-65
Participant 6,,119.225.114.60,10/05/17 15:39,10/05/17 15:43,"Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-G920F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/5.0 Chrome/51.0.2704.106 Mobile Safari/537.36",204 secs,31.7,2.3,success,1,10,fail,3,57,fail,3,28,Strongly agree,Strongly agree,Strongly agree,myTax,,Information indicated it included rental property schedules,,Strongly agree,myTax,,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Yes,Individual,,26-45
Participant 15,,121.127.217.158,10/05/17 15:41,10/05/17 15:48,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,442 secs,51.3,2.3,success,1,16,fail,3,96,success,3,42,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Tax agent,,rental properties were involved,,Disagree,myTax,,Neither satisfied nor dissatisfied,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,the lodge online with mytax makes it confusing as to what a mygov is. its like you are using the two words interchangeable as if its the same thing. confuses people who are not tax sophisticated,No,Tax agent,,26-45
Participant 20,,180.149.192.135,10/05/17 15:42,10/05/17 15:48,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,334 secs,55,2.3,success,1,20,fail,3,75,success,3,70,Agree,Agree,Agree,myTax,,The section on who can use myTax listed rental property schedules and CGT which I think is applicable in my circumstances.,,Agree,myTax,,Neither satisfied nor dissatisfied,Agree,Neither agree nor disagree,Agree,Agree,,Yes,Individual,,26-45
Participant 24,,14.203.115.50,10/05/17 15:43,10/05/17 15:53,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,574 secs,142,1.3,success,1,19,success,2,253,fail,1,154,Disagree,Disagree,Neither agree nor disagree,I'd rather not say,,Complex tax affairs,,Disagree,,,Neither satisfied nor dissatisfied,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,,No,Individual,,26-45
Participant 26,,180.149.192.135,10/05/17 15:44,10/05/17 15:56,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,710 secs,38.3,1,success,1,19,fail,1,74,fail,1,22,Strongly disagree,Neither agree nor disagree,Agree,,Start your tax return with myTax,couldn't see anything stating lodgement METHOD,This pg doesn't explain whether MyTax is the only or correct method to use where you have rental income. Use more clear headings as Do you need to know lodgement methods available? Do you want to lodge your tax return yourself online?,Agree,myTax,,Dissatisfied,Neither agree nor disagree,Agree,Disagree,Agree,,Yes,Individual,,26-45
Participant 30,,180.149.192.135,10/05/17 15:46,10/05/17 15:57,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,679 secs,50.3,2.3,success,1,8,fail,4,114,success,2,29,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,myTax,,"myTax is the quick, easy, safe and secure way to lodge online.",,Agree,myTax,,Satisfied,Agree,Agree,Neither agree nor disagree,Agree,,Yes,Individual,,26-45
Participant 31,,180.149.192.133,10/05/17 15:46,10/05/17 16:12,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1576 secs,473.7,2.7,success,1,25,success,4,1365,success,3,31,Neither agree nor disagree,Agree,Agree,Tax agent,,Because it was about property and investments I went for a tax agent option with them having an area of expertise.,no,Strongly agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,46-65
